"filename", "language", "Markdown", "JavaScript", "JSON", "YAML", "vue", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\pages\Register\Register.vue", "vue", 0, 0, 0, 0, 93, 0, 0, 0, 5, 98
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\pages\Search\Search.vue", "vue", 0, 0, 0, 0, 101, 0, 0, 0, 4, 105
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\pages\Search\SearchBar.vue", "vue", 0, 0, 0, 0, 401, 0, 0, 0, 5, 406
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\pages\upload\upload.vue", "vue", 0, 0, 0, 0, 193, 0, 0, 1, 5, 199
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\router\index.js", "JavaScript", 0, 108, 0, 0, 0, 0, 0, 0, 8, 116
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\store\actions.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\store\index.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\store\mutation-types.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 12, 23
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\store\mutations.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 5, 3, 94
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\store\state.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\dawn\Desktop\test\VueSocial\README.md", "Markdown", 502, 0, 0, 0, 0, 0, 0, 1, 54, 557
"c:\Users\dawn\Desktop\test\VueSocial\server\app.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 3, 7, 98
"c:\Users\dawn\Desktop\test\VueSocial\server\models\ChatContent.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\dawn\Desktop\test\VueSocial\server\models\ChatRelation.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\dawn\Desktop\test\VueSocial\server\models\Comment.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
